,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,num_sessions,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
0,0,t&p matrix,True,True,91,1,1,179,10,35.72727272727273,28.09090909090909,43.45454545454545,11,1,0,0.0
1,0,t&p matrix,True,True,91,2,1,230,8,23.8,67.6,22.3,10,1,0,0.0
2,0,t&p matrix,True,True,91,6,1,72,8,17.0,53.54545454545455,26.727272727272727,11,1,0,0.0
3,0,t&p matrix,True,True,91,7,1,45,4,18.4,18.6,63.0,5,1,0,0.0
4,0,t&p matrix,True,True,91,8,2,438,18,39.15,35.95,36.95,20,2,0,0.0
5,0,t&p matrix,True,True,91,9,1,191,8,19.7,49.1,41.1,10,1,0,0.0
6,0,t&p matrix,True,True,91,10,1,115,10,18.5,42.7,41.3,10,1,0,0.0
7,0,t&p matrix,True,True,91,11,2,49,7,49.1,9.1,37.7,10,2,0,0.0
8,0,t&p matrix,True,True,91,12,1,236,8,31.7,23.7,59.2,10,1,0,0.0
9,0,t&p matrix,True,True,91,15,2,95,10,9.8,19.8,70.9,10,2,0,0.0
10,0,t&p matrix,True,True,91,16,1,217,9,11.666666666666666,76.66666666666667,26.77777777777778,9,1,0,0.0
11,0,t&p matrix,True,True,91,17,1,425,9,26.0,15.777777777777779,96.44444444444444,9,1,0,0.0
12,0,t&p matrix,True,True,91,18,1,596,8,16.125,69.5,79.875,8,1,0,0.0
13,0,t&p matrix,True,True,91,19,1,386,4,86.25,58.25,43.0,4,1,0,0.0
14,0,t&p matrix,True,True,91,20,2,1345,16,0.0,29.1875,145.875,16,2,0,0.0
15,0,t&p matrix,True,True,91,21,3,1683,20,77.0,73.65,24.5,20,3,0,0.0
16,0,t&p matrix,True,True,91,22,1,865,8,93.625,50.0,55.5,8,1,0,0.0
17,0,t&p matrix,True,True,91,24,1,705,8,132.25,21.125,25.75,8,1,0,0.0
18,0,t&p matrix,True,True,91,25,1,983,8,107.875,85.5,20.5,8,1,0,0.0
19,0,t&p matrix,True,True,91,27,2,752,6,0.0,0.0,216.33333333333334,6,2,0,0.0
20,0,t&p matrix,True,True,91,28,1,936,7,34.0,61.0,129.71428571428572,7,1,0,0.0
21,0,t&p matrix,True,True,91,29,2,1642,10,52.1,203.1,0.0,10,2,0,0.0
22,0,t&p matrix,True,True,91,31,1,501,3,174.33333333333334,0.0,83.66666666666667,3,1,0,0.0
23,0,t&p matrix,True,True,91,32,2,2175,13,113.53846153846153,20.846153846153847,123.92307692307692,13,2,0,0.0
24,0,t&p matrix,True,True,91,33,3,3205,18,46.611111111111114,128.94444444444446,93.5,18,3,0,0.0
25,0,t&p matrix,True,True,91,35,1,1022,6,175.0,45.333333333333336,41.0,6,1,0,0.0
26,0,t&p matrix,True,True,91,36,2,2432,12,180.5,90.16666666666667,23.0,12,2,0,0.0
27,0,t&p matrix,True,True,91,37,3,3288,17,186.35294117647058,30.352941176470587,67.70588235294117,17,3,0,0.0
28,0,t&p matrix,True,True,91,39,1,1522,6,162.5,0.0,182.16666666666666,6,1,0,0.0
29,0,t&p matrix,True,True,91,40,2,2329,10,93.6,103.2,127.1,10,2,0,0.0
30,0,t&p matrix,True,True,91,41,2,1798,7,152.14285714285714,51.285714285714285,144.42857142857142,7,2,0,0.0
31,0,t&p matrix,True,True,91,45,1,1037,4,0.0,0.0,350.25,4,1,0,0.0
32,0,t&p matrix,True,True,91,46,1,1237,4,0.0,0.0,400.25,4,1,0,0.0
33,0,t&p matrix,True,True,91,47,1,1052,4,82.25,0.0,271.75,4,1,0,0.0
34,0,t&p matrix,True,True,91,49,3,2948,10,73.0,312.8,0.0,10,3,0,0.0
35,0,t&p matrix,True,True,91,50,1,1135,5,146.6,147.8,23.6,5,1,0,0.0
36,0,t&p matrix,True,True,91,51,1,731,2,456.5,0.0,0.0,2,1,0,0.0
